                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 0.3036,                  0.373,                0.86406,                0.36185,                0.38967,                0.87165,                0.92974,                0.95505,                0.97945,                 0.9693,                0.18656,                0.22036,                0.79593,                0.20099,                0.19047,                0.80523,             0.00053906,             0.00053906,             0.00053906
                     55,                0.29151,                0.37241,                0.86852,                0.35716,                0.38783,                0.87461,                0.94053,                0.95524,                0.98078,                0.97111,                0.18061,                 0.2111,                0.79469,                 0.1921,                0.22866,                0.80628,             0.00052806,             0.00052806,             0.00052806
                     56,                0.28991,                0.38017,                0.87208,                0.33411,                0.39108,                0.88201,                0.94596,                0.94884,                0.97726,                0.96746,                0.19446,                0.23654,                0.79842,                 0.2077,                0.18348,                 0.8219,             0.00051706,             0.00051706,             0.00051706
                     57,                0.28822,                0.40791,                0.86814,                0.32977,                0.43861,                0.87272,                0.95677,                0.94964,                0.98237,                0.97115,                0.17201,                 0.2642,                0.78666,                0.20321,                0.21848,                0.81374,             0.00050606,             0.00050606,             0.00050606
                     58,                0.27679,                0.42111,                0.86164,                0.33284,                0.39965,                0.86714,                0.94629,                0.94763,                0.97544,                0.96791,                0.18348,                0.22574,                0.79442,                0.19937,                 0.1674,                0.80693,             0.00049506,             0.00049506,             0.00049506
                     59,                0.29856,                0.36853,                0.86153,                0.35143,                0.36667,                0.86526,                0.83027,                0.90297,                0.94698,                0.93915,                0.17636,                0.34289,                0.79773,                0.20138,                0.40384,                0.82462,             0.00048406,             0.00048406,             0.00048406
                     60,                 0.2865,                0.34073,                0.86121,                0.33092,                0.34221,                0.86894,                0.82259,                0.91429,                0.95735,                0.94414,                0.18795,                0.59045,                0.79764,                0.23978,                0.48256,                0.84281,             0.00047306,             0.00047306,             0.00047306
                     61,                0.28337,                0.37074,                0.86697,                 0.3345,                0.38452,                0.87985,                0.95531,                0.97339,                0.97248,                0.96654,                0.18339,                0.19483,                 0.7913,                0.21663,                0.20244,                0.81904,             0.00046206,             0.00046206,             0.00046206
                     62,                0.30297,                0.39228,                 0.8738,                 0.3475,                0.43875,                0.88325,                0.90411,                0.95405,                0.97736,                0.96872,                0.18338,                0.25812,                0.78675,                0.18816,                0.31874,                0.80809,             0.00045107,             0.00045107,             0.00045107
                     63,                0.29343,                0.41278,                 0.8601,                0.34324,                0.43113,                0.86624,                0.89938,                0.88575,                0.96439,                0.95371,                0.17852,                0.52492,                0.78935,                0.20685,                0.47014,                0.81387,             0.00044007,             0.00044007,             0.00044007
                     64,                0.28556,                0.36116,                0.86424,                0.33222,                0.35554,                  0.873,                 0.9121,                 0.8733,                0.97239,                0.95953,                0.18882,                0.40239,                0.79364,                0.19948,                0.46094,                0.81176,             0.00042907,             0.00042907,             0.00042907
                     65,                0.28277,                0.39753,                0.86469,                0.32493,                0.41821,                0.87281,                0.97194,                0.96222,                0.98451,                0.97283,                0.16971,                0.17836,                0.79052,                0.20125,                0.15417,                0.81858,             0.00041807,             0.00041807,             0.00041807
                     66,                0.28338,                0.35284,                0.85345,                0.34307,                0.36053,                0.86237,                0.98849,                0.95618,                0.98367,                0.97099,                0.17133,                 0.1808,                0.78776,                0.20785,                0.15422,                0.81927,             0.00040707,             0.00040707,             0.00040707
                     67,                0.29469,                0.45593,                0.87088,                0.39045,                0.41233,                0.89224,                0.96041,                0.96935,                0.98441,                0.97609,                0.17065,                0.19451,                0.78802,                0.21795,                0.16558,                0.82271,             0.00039607,             0.00039607,             0.00039607
                     68,                   0.31,                0.36633,                0.87308,                0.35244,                  0.374,                0.87632,                0.95837,                0.95292,                0.98296,                0.97638,                0.17135,                0.19803,                0.78914,                0.20138,                0.16198,                0.80759,             0.00038507,             0.00038507,             0.00038507
                     69,                0.27992,                0.35229,                0.87163,                0.33171,                0.35412,                0.87664,                0.96826,                0.95483,                0.98534,                 0.9773,                0.16803,                0.17717,                0.78616,                0.18019,                 0.1533,                0.80134,             0.00037407,             0.00037407,             0.00037407
                     70,                0.26858,                0.30872,                 0.8637,                0.29778,                0.29611,                0.86766,                0.96842,                0.95125,                0.98253,                0.97394,                0.17262,                0.19041,                  0.791,                0.18515,                0.16424,                0.80741,             0.00036307,             0.00036307,             0.00036307
                     71,                 0.2775,                0.30711,                0.86578,                0.32004,                0.31081,                0.87126,                0.97331,                0.94622,                0.98706,                0.97499,                0.18786,                0.18205,                 0.8031,                0.21465,                0.15313,                0.83154,             0.00035208,             0.00035208,             0.00035208
                     72,                0.28319,                 0.3364,                0.86999,                0.31384,                0.35311,                0.87402,                0.84557,                0.91059,                0.96156,                0.95371,                0.18118,                0.38658,                0.79313,                0.20558,                0.38473,                0.81283,             0.00034108,             0.00034108,             0.00034108
                     73,                0.29124,                0.33522,                0.87553,                0.32809,                0.30276,                0.87684,                0.97949,                0.98194,                0.98675,                0.97876,                0.16187,                0.16283,                0.78616,                 0.1707,                0.14312,                0.80085,             0.00033008,             0.00033008,             0.00033008
                     74,                 0.2806,                0.32621,                0.87107,                 0.3242,                0.31493,                0.87671,                0.95899,                0.90127,                 0.9821,                0.97407,                0.16745,                0.37081,                0.79052,                0.18109,                0.35346,                0.79899,             0.00031908,             0.00031908,             0.00031908
                     75,                0.27314,                 0.3079,                0.86578,                0.31286,                0.29943,                0.87119,                0.77689,                0.86964,                0.94719,                0.93789,                 0.1808,                 1.1692,                0.79194,                0.19546,                0.94766,                0.80174,             0.00030808,             0.00030808,             0.00030808
                     76,                0.26761,                0.30498,                0.86079,                0.30189,                 0.2857,                 0.8643,                0.97832,                 0.9229,                0.98049,                0.97133,                0.17207,                0.20439,                0.78639,                0.19162,                0.17698,                0.80622,             0.00029708,             0.00029708,             0.00029708
                     77,                0.26218,                0.39595,                0.86527,                0.29983,                0.39998,                 0.8723,                0.94159,                0.92324,                0.97427,                0.96692,                0.17228,                0.23552,                0.78813,                0.19525,                0.24869,                 0.8085,             0.00028608,             0.00028608,             0.00028608
                     78,                0.26477,                0.33106,                0.86575,                0.31855,                0.34256,                0.87317,                0.96247,                0.95105,                 0.9821,                0.97498,                0.16844,                0.20147,                0.78768,                0.17714,                0.15316,                0.80146,             0.00027508,             0.00027508,             0.00027508
                     79,                0.28737,                0.31377,                0.86778,                0.32633,                0.29014,                0.87236,                0.97676,                0.94348,                0.98235,                0.97537,                0.16236,                0.16679,                0.78608,                0.17606,                  0.167,                0.80426,             0.00026408,             0.00026408,             0.00026408
